1397-10-06 19:17:10.382 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:17:10.561 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:17:10.573 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:17:10.584 WARN  NServiceBus.LicenseManager Opening browser to: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:17:16.600 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.613 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.627 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.639 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.650 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.661 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.792 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:16.803 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:50.336 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:17:50.602 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:17:50.613 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:17:50.625 WARN  NServiceBus.LicenseManager Opening browser to: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
1397-10-06 19:17:56.375 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.388 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.399 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.410 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.422 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.437 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.552 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:17:56.562 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
1397-10-06 19:27:35.225 INFO  DefaultFactory Logging to 'C:\Courses\Craftmanship - GodOfWar\Session 21\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
1397-10-06 19:27:35.391 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2018-11-22'.

1397-10-06 19:27:35.402 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
1397-10-06 19:27:35.411 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
