2022-04-15 13:54:22.787 INFO  DefaultFactory Logging to 'D:\Project\AuctionTest\AuctionManagement\src\Syncs.MessageDispatcher\bin\Debug\' with level Info
2022-04-15 13:54:23.202 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2022-02-17'.

2022-04-15 13:54:23.204 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2022-04-15 13:54:23.207 WARN  NServiceBus.LicenseManager To extend your trial license, visit: https://particular.net/license/nservicebus?v=7.1.6&t=0&p=windows
2022-04-15 13:54:24.424 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.431 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.439 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.443 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.451 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.456 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.675 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2022-04-15 13:54:24.683 WARN  NServiceBus.Transport.Msmq.QueuePermissions Queue [private$\AuctionManagement.Dispatcher.error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
